Match ID,innings,team,batsman,runs,balls,fours,sixes,strikeRate,isOut,wicketType,fielders,bowler
361657,1,Zimbabwe,10423.0,53.0,38.0,5.0,3.0,139.47,True,run out,['47099'],
361657,1,Zimbabwe,49282.0,12.0,22.0,2.0,0.0,54.54,True,caught,['47738'],8270.0
361657,1,Zimbabwe,47619.0,8.0,26.0,0.0,0.0,30.76,True,caught,['19596'],47099.0
361657,1,Zimbabwe,10421.0,4.0,6.0,1.0,0.0,66.66,True,caught,['8270'],4169.0
361660,1,Pakistan,11647.0,44.0,41.0,4.0,1.0,107.31,True,caught,['15267'],50377.0
361657,1,Zimbabwe,45252.0,4.0,8.0,0.0,0.0,50.00,True,caught,['9257'],47099.0
361660,1,Pakistan,47738.0,0.0,5.0,0.0,0.0,0.00,True,caught,['11271'],11271.0
361657,1,Zimbabwe,10639.0,0.0,1.0,0.0,0.0,0.00,True,caught,['9257'],44908.0
361660,1,Pakistan,4169.0,14.0,13.0,1.0,0.0,107.69,True,caught,['8203'],15267.0
361531,1,Scotland,45548.0,22.0,27.0,1.0,0.0,81.48,True,bowled,,45001.0
361660,1,Pakistan,10439.0,0.0,4.0,0.0,0.0,0.00,True,run out,['10412'],
361657,1,Zimbabwe,49274.0,7.0,9.0,1.0,0.0,77.77,True,stumping,['9257'],47099.0
361531,1,Scotland,46048.0,40.0,44.0,4.0,2.0,90.90,True,run out,"['45001', '48503']",
361660,1,Pakistan,8270.0,19.0,19.0,1.0,1.0,100.00,True,caught,['8203'],50377.0
361657,1,Zimbabwe,51554.0,1.0,6.0,0.0,0.0,16.66,True,run out,['47738'],
361531,1,Scotland,46142.0,25.0,27.0,1.0,0.0,92.59,True,run out,['5694'],
361660,1,Pakistan,19596.0,23.0,25.0,2.0,0.0,92.00,False,not out,['-'],
361657,1,Zimbabwe,45326.0,0.0,2.0,0.0,0.0,0.00,False,not out,['-'],
361531,1,Scotland,8221.0,0.0,1.0,0.0,0.0,0.00,True,caught,['48503'],45358.0
361657,1,Zimbabwe,7432.0,0.0,2.0,0.0,0.0,0.00,False,not out,['-'],
361660,1,Pakistan,47099.0,2.0,4.0,0.0,0.0,50.00,True,caught,['11374'],11374.0
361531,1,Scotland,4334.0,7.0,11.0,0.0,0.0,63.63,True,caught,['10323'],45358.0
361657,1,Zimbabwe,47210.0,,,,,,False,DNB,,
361657,2,Pakistan,47738.0,50.0,54.0,6.0,0.0,92.59,True,caught,['10421'],47210.0
361660,1,Pakistan,9257.0,12.0,8.0,1.0,0.0,150.00,True,stumping,['7419'],50377.0
361531,1,Scotland,44588.0,0.0,1.0,0.0,0.0,0.00,True,caught,['5694'],45358.0
361657,2,Pakistan,4169.0,5.0,6.0,1.0,0.0,83.33,True,caught,['49282'],47210.0
350347,1,South Africa,7538.0,28.0,18.0,4.0,1.0,155.55,True,caught,['24667'],45159.0
361660,1,Pakistan,44908.0,2.0,1.0,0.0,0.0,200.00,False,not out,['-'],
361653,1,Zimbabwe,10639.0,1.0,3.0,0.0,0.0,33.33,True,caught,['15273'],11374.0
354459,1,Kenya,10364.0,2.0,10.0,0.0,0.0,20.00,True,lbw,,47873.0
361531,1,Scotland,52063.0,2.0,5.0,0.0,0.0,40.00,True,run out,['45001'],
361657,2,Pakistan,11647.0,33.0,48.0,2.0,1.0,68.75,False,not out,['-'],
350347,1,South Africa,2347.0,18.0,10.0,4.0,0.0,180.00,True,bowled,,45573.0
361660,1,Pakistan,5649.0,,,,,,False,DNB,,
361653,1,Zimbabwe,10423.0,22.0,14.0,2.0,2.0,157.14,True,caught,['50377'],11374.0
